#separator:semicolon
#html:true
#deck:Personal German Coach
#notetype:Basic (and reversed card)
#columns:Front;Back;Tags;Deck

Front;Back;Tags;Deck
die Anmeldung;Регистрация по месту жительства (обязательная в Германии)<br><br>📝 Пример: <i>Die Anmeldung beim Einwohnermeldeamt ist in Deutschland Pflicht.</i><br><br>✏️ Ошибка: "Ich muss mich <b>anmelden</b>" (глагол возвратный!);Integration::Behörden;Personal German Coach::Integration
der Aufenthaltstitel;Вид на жительство / разрешение на пребывание<br><br>📝 Пример: <i>Ich brauche einen neuen Aufenthaltstitel, weil mein alter abgelaufen ist.</i><br><br>⚠️ Связанное: die Niederlassungserlaubnis (бессрочный ВНЖ);Integration::Behörden;Personal German Coach::Integration
die Wohnungsgeberbestätigung;Подтверждение от арендодателя (нужно для Anmeldung)<br><br>📝 Пример: <i>Ohne die Wohnungsgeberbestätigung kann man sich nicht offiziell anmelden.</i>;Integration::Wohnen;Personal German Coach::Integration
die Krankenversicherung;Медицинская страховка<br><br>📝 Пример: <i>Ohne Krankenversicherung darf man in Deutschland nicht arbeiten.</i><br><br>⚠️ Типы: gesetzlich (GKV) vs. privat (PKV);Integration::Gesundheit;Personal German Coach::Integration
der Nebensatz (weil);Придаточное предложение с WEIL — глагол В КОНЕЦ<br><br>✅ Правильно: <i>Ich bin müde, <b>weil</b> ich heute viel gearbeitet <b>habe</b>.</i><br>❌ Неверно: <i>Ich bin müde, weil ich habe heute viel gearbeitet.</i><br><br>📌 Правило: weil/dass/obwohl/wenn → verb-last;Grammatik::Nebensatz;Personal German Coach::Grammatik
mit + Dativ;Предлог MIT всегда требует Dativ<br><br>✅ Правильно: <i>Ich arbeite mit <b>meinem</b> Team.</i><br>❌ Неверно: <i>Ich arbeite mit mein Team.</i><br><br>📌 Другие Dativ-предлоги: bei, nach, seit, von, zu, aus, gegenüber;Grammatik::Praepositionen::Dativ;Personal German Coach::Grammatik
seit + Dativ (Zeitdauer);SEIT + Dativ — для длительности действия в настоящем времени (Präsens!)<br><br>✅ Правильно: <i>Ich wohne seit <b>drei Jahren</b> in Berlin.</i><br>❌ Неверно: <i>Ich wohne seit drei Jahre...</i> / <i>Ich habe gewohnt seit...</i><br><br>📌 Dativ Plural: -en окончание → Jahre → <b>Jahren</b>;Grammatik::Praepositionen::Temporal;Personal German Coach::Grammatik
der Artikel im Akkusativ (m);Артикль в Akkusativ — maskulin меняется!<br><br>Nominativ: der / ein / kein<br>Akkusativ: <b>den / einen / keinen</b><br><br>✅ <i>Ich sehe <b>den</b> Mann. / Ich kaufe <b>einen</b> Apfel.</i><br>❌ <i>Ich sehe der Mann.</i>;Grammatik::Artikel::Kasus;Personal German Coach::Grammatik
sich erinnern an + Akk;Вспоминать (о ком-то / чём-то) — возвратный глагол!<br><br>✅ <i>Ich erinnere mich <b>an</b> das Gespräch.</i><br>❌ <i>Ich erinnere das Gespräch.</i><br><br>📌 mich (Akk) / sich = reflexiv<br>an + Akkusativ = что именно;Grammatik::Reflexivverben;Personal German Coach::Grammatik
pünktlich;Пунктуальный / вовремя<br><br>📝 Пример: <i>In Deutschland ist es wichtig, <b>pünktlich</b> zu sein.</i><br><br>⚠️ Антоним: unpünktlich (опоздать = zu spät kommen);Wortschatz::Allgemein;Personal German Coach::Wortschatz
die Überweisung;Банковский перевод (денежный) / Направление к специалисту (медицинское)<br><br>💰 <i>Bitte zahlen Sie per Überweisung.</i><br>🏥 <i>Ich brauche eine Überweisung zum Kardiologen.</i><br><br>⚠️ Контекст определяет смысл!;Wortschatz::Finanzen::Medizin;Personal German Coach::Wortschatz
das Deployment;[IT] Деплой / развёртывание приложения<br><br>📝 Пример: <i>Das <b>Deployment</b> der neuen Version ist für Freitag geplant.</i><br><br>📌 Произношение: [dɪˈplɔɪmənt];Wortschatz::IT;Personal German Coach::IT
die Schnittstelle;[IT] Интерфейс / API / точка взаимодействия<br><br>📝 Пример: <i>Die <b>Schnittstelle</b> zwischen Frontend und Backend funktioniert stabil.</i><br><br>🔗 API = Application Programming Interface;Wortschatz::IT;Personal German Coach::IT
die Anforderung (-en);[IT/Business] Требование / техническое задание<br><br>📝 Пример: <i>Wir analysieren die <b>Anforderungen</b> des Kunden.</i><br><br>📌 Множественное: die Anforderungen;Wortschatz::IT::Management;Personal German Coach::IT
